transaction_id,date_time,payment_method,product_id,product_name,product_description,product_category,unit_price,quantity,discount,store_id,store_city,store_address,store_postalcode,transaction_type
1641,2024-10-13 08:55:11,card,103,Jacket,Winter jacket,Clothing,89.99,37,0,5,Liege,Place Saint-Lambert 27,4000,buy
560,2024-10-18 08:55:11,card,104,Socks,Pack of 3 pairs of socks,Clothing,9.99,47,0,1,Bruxelles,Rue de la Loi 155,1000,buy
241,2024-11-10 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,62,0,1,Bruxelles,Rue de la Loi 155,1000,buy
189,2024-11-16 08:55:11,card,104,Socks,Pack of 3 pairs of socks,Clothing,9.99,27,0,1,Bruxelles,Rue de la Loi 155,1000,buy
509,2024-12-05 08:55:11,card,102,Jeans,Blue denim jeans,Clothing,49.99,75,0,3,Gent,Korenmarkt 14,9000,buy
340,2024-10-12 08:55:11,card,103,Jacket,Winter jacket,Clothing,89.99,54,0,4,Antwerp,Meir 78,2000,buy
1648,2024-10-12 08:55:11,card,103,Jacket,Winter jacket,Clothing,89.99,49,0,5,Liege,Place Saint-Lambert 27,4000,buy
754,2024-11-03 08:55:11,card,102,Jeans,Blue denim jeans,Clothing,49.99,31,0,4,Antwerp,Meir 78,2000,buy
336,2024-11-26 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,95,0,2,Brugges,Markt 1,8000,buy
653,2024-10-11 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,59,0,1,Bruxelles,Rue de la Loi 155,1000,buy
4,2024-10-12 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,23,0,4,Antwerp,Meir 78,2000,buy
741,2024-10-29 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,54,0,2,Brugges,Markt 1,8000,buy
1476,2024-10-18 08:55:11,card,103,Jacket,Winter jacket,Clothing,89.99,86,0,5,Liege,Place Saint-Lambert 27,4000,buy
1120,2024-12-05 08:55:11,card,104,Socks,Pack of 3 pairs of socks,Clothing,9.99,60,0,1,Bruxelles,Rue de la Loi 155,1000,buy
567,2024-10-29 08:55:11,card,103,Jacket,Winter jacket,Clothing,89.99,26,0,4,Antwerp,Meir 78,2000,buy
203,2024-11-22 08:55:11,card,102,Jeans,Blue denim jeans,Clothing,49.99,68,0,1,Bruxelles,Rue de la Loi 155,1000,buy
1175,2024-11-13 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,48,0,4,Antwerp,Meir 78,2000,buy
429,2024-10-28 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,62,0,4,Antwerp,Meir 78,2000,buy
1221,2024-10-26 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,84,0,3,Gent,Korenmarkt 14,9000,buy
1100,2024-11-02 08:55:11,card,102,Jeans,Blue denim jeans,Clothing,49.99,63,0,1,Bruxelles,Rue de la Loi 155,1000,buy
298,2024-11-14 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,74,0,2,Brugges,Markt 1,8000,buy
635,2024-10-26 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,69,0,3,Gent,Korenmarkt 14,9000,buy
710,2024-10-19 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,28,0,4,Antwerp,Meir 78,2000,buy
703,2024-10-23 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,82,0,4,Antwerp,Meir 78,2000,buy
928,2024-10-26 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,40,0,5,Liege,Place Saint-Lambert 27,4000,buy
312,2024-10-11 08:55:11,card,104,Socks,Pack of 3 pairs of socks,Clothing,9.99,25,0,2,Brugges,Markt 1,8000,buy
1618,2024-10-07 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,74,0,3,Gent,Korenmarkt 14,9000,buy
248,2024-11-12 08:55:11,card,104,Socks,Pack of 3 pairs of socks,Clothing,9.99,34,0,4,Antwerp,Meir 78,2000,buy
1487,2024-12-04 08:55:11,card,102,Jeans,Blue denim jeans,Clothing,49.99,99,0,5,Liege,Place Saint-Lambert 27,4000,buy
778,2024-10-29 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,33,0,3,Gent,Korenmarkt 14,9000,buy
1337,2024-11-09 08:55:11,card,103,Jacket,Winter jacket,Clothing,89.99,38,0,3,Gent,Korenmarkt 14,9000,buy
1295,2024-10-11 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,55,0,2,Brugges,Markt 1,8000,buy
215,2024-11-19 08:55:11,card,102,Jeans,Blue denim jeans,Clothing,49.99,72,0,5,Liege,Place Saint-Lambert 27,4000,buy
723,2024-11-08 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,71,0,3,Gent,Korenmarkt 14,9000,buy
990,2024-11-22 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,37,0,3,Gent,Korenmarkt 14,9000,buy
292,2024-12-03 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,37,0,1,Bruxelles,Rue de la Loi 155,1000,buy
683,2024-11-21 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,86,0,5,Liege,Place Saint-Lambert 27,4000,buy
1062,2024-10-09 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,29,0,2,Brugges,Markt 1,8000,buy
776,2024-10-27 08:55:11,card,103,Jacket,Winter jacket,Clothing,89.99,79,0,3,Gent,Korenmarkt 14,9000,buy
29,2024-10-23 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,69,0,2,Brugges,Markt 1,8000,buy
1304,2024-10-13 08:55:11,card,104,Socks,Pack of 3 pairs of socks,Clothing,9.99,48,0,3,Gent,Korenmarkt 14,9000,buy
1486,2024-11-01 08:55:11,card,105,Sweater,Wool sweater,Clothing,39.99,71,0,4,Antwerp,Meir 78,2000,buy
433,2024-11-04 08:55:11,card,103,Jacket,Winter jacket,Clothing,89.99,74,0,5,Liege,Place Saint-Lambert 27,4000,buy
1182,2024-11-10 08:55:11,card,104,Socks,Pack of 3 pairs of socks,Clothing,9.99,79,0,3,Gent,Korenmarkt 14,9000,buy
386,2024-10-13 08:55:11,card,102,Jeans,Blue denim jeans,Clothing,49.99,74,0,2,Brugges,Markt 1,8000,buy
1259,2024-11-04 08:55:11,card,102,Jeans,Blue denim jeans,Clothing,49.99,45,0,3,Gent,Korenmarkt 14,9000,buy
992,2024-10-16 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,54,0,1,Bruxelles,Rue de la Loi 155,1000,buy
562,2024-11-16 08:55:11,card,103,Jacket,Winter jacket,Clothing,89.99,62,0,3,Gent,Korenmarkt 14,9000,buy
156,2024-10-30 08:55:11,card,102,Jeans,Blue denim jeans,Clothing,49.99,91,0,1,Bruxelles,Rue de la Loi 155,1000,buy
1215,2024-11-28 08:55:11,card,101,T-shirt,Cotton T-shirt,Clothing,15.99,66,0,4,Antwerp,Meir 78,2000,buy
200,2024-11-06 08:55:11,card,102,Jeans,Blue denim jeans,Clothing,49.99,42,0,5,Liege,Place Saint-Lambert 27,4000,buy
